id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
1158,2007-09-26,67873,NA,MC,,67873,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2007-08-10,,,SPS,Active,216910,18,"Namibia,Erongo,Omaruru; H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2012-09-26,Namibia,False,14/2/2/1/2/,67873,,,,Claims,,Semi-Precious Stones,,Markus Ndara (100.000000%),2014-09-25,,Mining Claim,2007-08-17
1159,2008-06-13,67884,NA,MC,,67884,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2007-08-28,,,SPS,Active,216911,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2013-06-13,Namibia,False,14/2/2/1/2/,67884,,,,Claims,,Semi-Precious Stones,,Executive Minerals Resource Trade (Pty) Ltd (100.000000%),2015-06-12,,Mining Claim,2007-09-03
1160,2008-06-13,67885,NA,MC,,67885,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2007-08-28,,,SPS,Active,216912,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2013-06-13,Namibia,False,14/2/2/1/2/,67885,,,,Claims,,Semi-Precious Stones,,Executive Minerals Resource Trade (Pty) Ltd (100.000000%),2015-06-12,,Mining Claim,2007-09-03
1161,2008-06-13,67886,NA,MC,,67886,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2007-08-28,,,SPS,Active,216913,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2013-06-13,Namibia,False,14/2/2/1/2/,67886,,,,Claims,,Semi-Precious Stones,,Executive Minerals Resource Trade (Pty) Ltd (100.000000%),2015-06-12,,Mining Claim,2007-09-03
1162,,Test-90,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216914,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,24.6938,Test Areas,
1163,,Test-91,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216915,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,6594.2972,Test Areas,
1164,,Test-23,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216916,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL,,,,Exploration,,,,,,26571.0292,Test Areas,
1165,,Test-92,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216917,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,1474.6902,Test Areas,
1166,,Test-85,NA,TA,,,,Part 2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216918,18,"Namibia,Hardap,Rehoboth; Khomas,Rehoboth, Windhoek; M",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,49624.2705,Test Areas,
1167,,Test-93,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216919,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,7.2024,Test Areas,
